"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Gbp9",49.82,1.22,0,0,0,300.18,0.2,0,249.61,0,50.84,0.24,1.39,87.64,0,0,0.36,0.44,0,0,136.06,0,3.57,0,0,1.85,0,16.94,0,0,0,0,4.04,0,5.21,0,186.06,0,2.43,0,0,0,2.12,0.23,0.48,0,0,0,1.55,0,0,0,105.02,0,0,0,109.05,0,0,83.05,0,417.1,18.01,1.3,52.11,6.35,32.56,6.19,0,1.87,58.14,0,94.98,0,0,0,11.04,0.78
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0.67,0,0.57,0,0,0,194.29,0,0,0,0,0,0,0,0,68.84,0,0,0,0,0,0,363.78,0,0,0,2861.11,42.41,0,0,0,0,0,0,0,0,0,12.56,0,0,952.88,0,0,0,0,38.23,160.68,0,59.08,1.89,0,0,0,71.98,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nudt9",0,0,0,151.68,0,81.13,0,0,2.85,5.65,0.58,303.59,0,6.41,68.98,0,6.68,0,0,0,0,0,9.75,0,386.28,90.43,0,142.8,3.59,0,11.67,0,3.38,0,182.15,0,0,109.6,0.94,3.77,0,0,16.21,33.34,0,0,0,0,0,0,0.38,0,0,3.67,0,0,5.03,13.11,0,0,0,0,7.69,0.5,1.67,0,0,18.21,0,87.33,55.5,0,10.08,54.71,37.35,0,18.19,0
"Hsd17b11",0,13.75,1.06,12.09,0,0,0,0,0,15.43,0,0,0,6.33,0.59,0,0,3.36,7.29,0,40.8,0,0.55,0,0,1.43,0,0,0,0,0,0,0,0,5.55,0,0,0.32,15,0.86,0,11.38,0,6.04,0,2.24,0.72,0,0.8,0,0,0,3.7,0,0,1.84,0,4.09,0,2.47,0.28,0,25.11,5.97,0.38,1.86,0,0,7.57,0,0,0,0,0,37.39,0,0,19.47
"Aff1",0,0.69,17.26,0,0,27.88,0,0,0,4.44,0,0,0,1.74,18.2,35.27,0,0,33.98,0,0.59,0,38.22,181.11,1.8,5.23,1.61,1.73,6.59,0,3.82,43.82,0,34.81,14.54,0,3.53,106.96,4.94,1.57,0,0,0,0,17.84,15.1,0.07,0,83.25,0,0,7.23,0,0.06,0,0,50.38,2.38,0,2.3,0,15.64,2.46,0.48,0,0,0,4.04,0.09,7.78,1.33,12.19,1.84,0,12.96,0.08,1.61,1.44
"Coq2",16.68,0.52,0,0,0,610.17,0,0,0,11.98,33.45,0,67.95,18.23,2.49,0.6,68.05,0,3.49,0,3.47,0,40.62,0,0,0.75,0,0.73,0,0,0,0.6,0,14.33,0,0,0,1,0.69,24.55,0,0,15.06,0,3.13,0,50.19,1.07,0.28,3.34,7.93,0,0,0,66.86,60.09,0,0.7,0,95.22,0,0,0,56.89,0,0.78,0,0,19.93,1.35,53.31,0,0,0,5.69,0,2.28,0
"Plac8",0,147.13,702.44,0,0,0,0,0,249.62,0,60.22,765.6,0,2.61,0,0,0,0,0,0,0,0,165.88,0,0,0,0,58.2,0,0,8.28,0,0,0,0,0,0,22.42,4.31,80.14,0,0,201.71,0,0,0,0,0,247.98,1570.97,0,32.57,94.39,0,0,64.35,0,306.33,0,0,0,190.89,1906.94,48.87,472.97,26.7,95.66,0,753.84,0,1.06,334.44,575.71,435.53,0,41.09,0,0
"Tpst2",287.79,0,13.35,72.99,0,49.08,0.44,0,3.02,4.28,0,2.63,0,104.7,28.17,8.51,151.44,0,18.19,5.45,9.83,2.74,12.2,0,0,98.09,10.48,5.52,0,0,125.16,3,3.24,76.47,0,81.41,20.73,7,0,5.87,0,0,138.71,25.47,3.66,23.08,1.9,0,20.04,12.78,61.95,2.38,0.39,0,24.1,0,89.01,2.74,18.92,0.33,0,0,4.58,2.51,15.69,10.17,0,1.24,60.72,4.5,16.01,3.1,0,0,0,1.25,13.35,0
"Srrd",25.26,0,2,0,0,0,0,0,0,0,0,0,576.24,2.08,0,0,105.97,0,0,0,0,51.64,40.87,0,0,0,0,0,0,0,0,0,3.65,17.05,5.62,0.92,0,58,0,0,273.31,0,18.89,0,0,7.56,52.59,0,7.04,0,5.52,0,0,1.16,0,21.95,0,0.96,0,0,0,0,0,16.77,5.17,0,0.74,0,23.07,0,0,0.02,28.75,0,57.17,0,0,3.39
"Wsb2",235.11,83.81,0,0,0,0,0,0,139.26,0,5.37,0,0,10.46,49.07,1.4,50.06,85.66,84.8,0,16.29,0,100.18,17.31,0,1.56,0,2.68,0,0,19.48,0,71.41,23.5,21.96,0,0,0,0,0,0.5,0,42.18,39.73,18.23,0.33,0,6.12,56.21,100.04,0,29.91,0,0.64,27.34,7.93,0,102.55,0,39.01,0,0,3.75,0,0,11.61,8.25,5.25,1,0.34,41.49,294.43,9.55,0,0,0,13.59,0.28
"Rassf6",0,0,0,2.35,0,0,272.19,237.09,0,0,96.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,115.34,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0.67,0,0,0,4.76,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,110.51,101.6,0,63.95,0,1.12,0,11.26,0,0,0
"Cxcl1",0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0,8.76,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.06,0,0,0,0,0,0,0,138.78,0.62,0,33.34,0,0,0,0,0.6,0,0,0,0,0,5135.02,213.74,0,0,0,0,395.92,852.42,1308.29,0,112.18,0
"Shroom3",3.06,2.73,0.41,37.98,24.25,2.85,1.54,0,47.2,28.76,88.41,5.33,0.14,6.62,11.25,13.08,43.71,1.75,14.84,1.08,0.76,11.86,38.86,268.83,7.26,31.94,0.44,0.27,0,122.03,9.23,0.79,28.28,3.82,7.75,33.47,10.19,0,4.81,35.96,209.37,0.1,0,53.75,3.88,0.41,0.62,9.29,12.84,0,0,0.13,1.96,0,88.33,1.71,1.47,0.78,48.62,28.99,5.48,0,17.38,6.55,0.61,18.32,11.27,2.25,38.69,2.47,29.81,61.57,72.25,1.68,2.87,71.54,38.15,8.26
"Ccng2",6.96,157.04,2.53,161.5,46.82,0,294.74,1.08,0,18.05,0,0,92.21,26.23,51.29,0,41.07,0,124.79,0,66.71,73.41,99.8,0,0,0,159.81,140.93,57.2,210.56,0,34.79,28.6,5.35,0,3.56,281.24,66.64,5.18,6.51,60.21,0,6.24,84.45,0,0,0,0,0,0,0,0,252.58,5.41,127.84,0,35.14,0,0,0.85,0,0,42.99,0.27,20.3,0,3.22,0,0,0,16.73,113.37,0,0,1.87,157.62,0,0
"Tctn2",0,0,0,0,0,643.59,0,0,0,0.21,2.21,0,0,3.98,0,0,0,2.15,0.51,0,0,0.33,33.47,0,1.94,0.51,84.29,0,0,2.45,0.55,1.83,5.99,0.12,6.24,0.7,0.77,35.65,0.47,1.42,0,0.57,0.51,1.67,0,1.18,2.25,0.64,0.41,1.34,0.75,1.46,1.21,0.23,0,7.07,0.5,47.95,0.14,5.49,0.98,0.19,62.75,21.07,2.38,0.19,0.39,12.97,0.43,5.86,2.92,0,1.04,5.45,0.7,343.38,32.67,0.47
"Gtf2h3",8.54,265.24,448.38,261.62,344.47,8.52,0,12.81,5.79,68.83,125.88,27.15,101.68,203.63,22.24,10.86,69.2,2.2,203.83,0.34,131.72,0,100.46,8.47,147.1,5.16,0,194.19,2.4,0.79,222.01,354.89,202.23,21.99,2.64,283.31,0,1.88,33.19,4.26,0.5,0,0.58,98.39,1.3,190.04,5.27,234.95,130,55.28,232.72,109.55,31.06,0.38,247.01,1.01,67.19,19.57,32.95,1.63,0,361.37,140.56,6.08,308.75,0.49,1053.01,237.74,102.73,74.6,20.6,3.59,3.46,20.17,25.4,199.36,25.1,5.74
"Ddx55",0,1.39,0.33,0.72,0,0,0,0,0.3,0,7.02,0,0,1.58,0.29,2.55,0,0,0,0,14.02,0,0,0,0,0,0,0,0,0.8,7.79,4.89,2.75,6.8,0.25,0.27,3.7,20.46,0.97,19.21,0.77,0,66.66,2.63,0.64,0,0,0,3.13,7.04,6.48,26.64,0,2.45,0,14.42,0,27.3,0,0,1.97,60.85,3.7,0.92,41.01,0.18,0.71,0.19,0,11,19.58,2.62,0.25,0.36,0,0.59,20.15,0
"Tmed2",2.82,15.76,24.54,26.79,2.03,0,0,1.8,0,145.25,131.38,39.03,6.18,66.33,204.73,262.7,62.37,0,78.71,0,83.29,0,78.95,12.05,136.82,79.52,107.89,118.56,32.68,27.05,240.58,160.29,649.85,138.11,183.37,10.4,30.82,291.95,228.6,19.27,70.6,0,144.99,7.38,176.5,13.23,3.19,3.01,9.43,16.7,111.33,15.69,79.89,234.21,64.55,20.26,19.94,0,380.26,173.17,0.73,1.22,45.32,64.43,93.31,202.01,1.05,262.74,18.83,17.76,85.81,10,207.16,10.4,15.31,7.61,160.06,58.53
